Level,Action,Vendor Tracking #,Rebate Name,Rebate Number,Rebate Type,Header - Branch,Header - Performance,Header - Currency,Header - Vendor Name,Header - Billing Vendor Name,Header-Customer,Header - Manufacturer Number,Header - Start Date,Header - End Date,Header - Program Name,Header - Order Start Date,Header - Order End Date,Header - Broker Name,Header - Category Manager,Header - Comments,Product - Type,Product - Number,Product - Description,Product - Percent,Product - Per CS,Product - Per Pound,Product - Per Lbs,Product - Net Cost,Product - Invoice Price,Lumpsum - Fee Type,Lumpsum - Amount,Lumpsum - Branch,Lumpsum - Lumpsum Date,Lumpsum - Lumpsum Start Date,Lumpsum - Lumpsum End Date,Lumpsum - Pay Date,Lumpsum - Cancel,Lumpsum - Lumpsum Item Number,Lumpsum - Lumpsum Item Description,Lumpsum - Quantity,Lumpsum - Lumpsum Billing Frequency,Lumpsum - Warehouse Split,Lumpsum - Recurring Flag,Calendar name,Billing Frequency,Auto Schedule Payments,Lumpsum Payment Method,AR Vendor Name,Finance Contact,Qualifier - Type,Qualifier - Value,Qualifier - Exclude,Deal Date - Type,Deal - Start Date,Deal - End Date,Allowance - Item Allowance
,,Markon Holiday Promotion (11/9/25-12/13/25) New Business,Markon Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00191869,00191869,,,1/28/2026,2/28/2026,Markon Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,12,008,2/16/2026,,,2/16/2026,,0048181,"BRUSSELS SPROUT, BITE (0048181)",12,,,,Calendar Year,Daily,Y,AR Invoice,72561,chris_casson@shamrockfoods.com;becca_magaw@shamrockfoods.com,,,,,,,
,,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) Existing Business,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00110972,00110972,,,1/28/2026,2/28/2026,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,880.38,008,2/16/2026,,,2/16/2026,,4783481,"BUTTERMILK, 1% LF (4783481)",3523,,,,Calendar Year,Daily,Y,AR Invoice,22372,rick_stepien@shamrockfoods.com;kristen_martinson@shamrockfoods.com,,,,,,,
,,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) New Business,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00110972,00110972,,,1/28/2026,2/28/2026,Shamrock Farms Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,41,008,2/16/2026,,,2/16/2026,,4783481,"BUTTERMILK, 1% LF (4783481)",41,,,,Calendar Year,Daily,Y,AR Invoice,22372,rick_stepien@shamrockfoods.com;kristen_martinson@shamrockfoods.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,57,008,2/16/2026,,,2/16/2026,,2885911,"CAKE, CARROT MOMMAS OLDF 10"" 16 SLI (2885911)",38,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,36,008,2/16/2026,,,2/16/2026,,2885911,"CAKE, CARROT MOMMAS OLDF 10"" 16 SLI (2885911)",12,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,18,008,2/16/2026,,,2/16/2026,,3093071,"CAKE, CHOC LAVA DIVINE GF (3093071)",12,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,24,008,2/16/2026,,,2/16/2026,,3093071,"CAKE, CHOC LAVA DIVINE GF (3093071)",8,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,43.5,008,2/16/2026,,,2/16/2026,,2522971,"CAKE, CHOCOLATE LAVA 4.16Z (2522971)",29,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,36,008,2/16/2026,,,2/16/2026,,2522971,"CAKE, CHOCOLATE LAVA 4.16Z (2522971)",12,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,72,008,2/16/2026,,,2/16/2026,,3575161,"CAKE, LMN ITAL 2 LAYER 10"" 12 SLI (3575161)",48,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
